"Time (s)","X (hPa)"
-5.219182083E-1,1.019800034E3
5.031317917E-1,1.019797211E3
1.528312792E0,1.019800034E3
2.553605792E0,1.019794464E3
3.579045792E0,1.019885864E3
4.604628792E0,1.019999847E3
4.753649792E0,1.019999847E3
5.703410792E0,1.019939728E3
6.653267792E0,1.019939728E3
7.603207792E0,1.020017242E3
8.553115792E0,1.020017242E3
9.503184792E0,1.019969940E3
1.045327979E1,1.019969330E3
1.140337579E1,1.019969330E3
1.235339979E1,1.019726257E3
1.330328879E1,1.019726257E3
1.425328879E1,1.019710922E3
1.520335379E1,1.019710922E3
1.615333979E1,1.019710922E3
1.710341379E1,1.019739532E3
1.805350579E1,1.019739532E3
1.900358179E1,1.019789963E3
1.995367079E1,1.019807587E3
2.090372879E1,1.019823608E3
2.185382179E1,1.019935303E3
2.280401079E1,1.019935303E3
2.375442179E1,1.019813309E3
2.470485079E1,1.019713898E3
2.565526779E1,1.019713898E3
2.660580579E1,1.019496002E3
2.755668879E1,1.019496002E3
2.850740779E1,1.019506912E3
2.945840579E1,1.019572830E3
3.040944179E1,1.019572830E3
3.136062579E1,1.019572830E3
3.231172879E1,1.019565201E3
3.326292279E1,1.019545364E3
3.421416879E1,1.019545364E3
3.516534379E1,1.019605637E3
3.611644979E1,1.019678574E3
3.706750079E1,1.019696655E3
3.801846379E1,1.019745865E3
3.896925579E1,1.019751892E3
3.992008779E1,1.019782410E3
4.087083479E1,1.019798431E3
4.182147179E1,1.019802094E3
4.277206779E1,1.019804688E3
4.372258079E1,1.019809494E3
4.467310879E1,1.019809494E3
4.562352879E1,1.019790878E3
4.657390479E1,1.019780045E3
4.752435079E1,1.019772415E3
4.847460479E1,1.019751968E3
4.942489179E1,1.019751968E3
5.037494679E1,1.019774857E3
5.132489979E1,1.019810638E3
5.227488879E1,1.019832458E3
5.322490979E1,1.019874802E3
5.417478079E1,1.019874802E3
5.512477579E1,1.019858856E3
5.607484779E1,1.019858856E3
5.702504379E1,1.019838638E3
5.797538679E1,1.019838638E3
5.892591279E1,1.019838638E3
5.987657179E1,1.019854889E3
6.082744479E1,1.019854889E3
