"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749469826300520E9,"2025-06-09 13:50:26.301 UTC+02:00"
"PAUSE",3.681675983313471E1,1.749469863117055E9,"2025-06-09 13:51:03.117 UTC+02:00"
