"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750066825833022E9,"2025-06-16 11:40:25.833 UTC+02:00"
"PAUSE",5.416938508348540E1,1.750066880001757E9,"2025-06-16 11:41:20.002 UTC+02:00"
