"Time (s)","Distance (cm)"
5.532249808E-3,5.000000000E0
3.408433334E-2,0.000000000E0
3.408895829E-2,5.000000000E0
1.329690958E0,0.000000000E0
8.263433542E0,5.000000000E0
8.603726833E0,0.000000000E0
8.837000375E0,5.000000000E0
9.220374000E0,0.000000000E0
1.203858762E1,5.000000000E0
1.481158512E1,0.000000000E0
1.514497379E1,5.000000000E0
1.524492904E1,0.000000000E0
2.592884771E1,5.000000000E0
2.915034900E1,0.000000000E0
2.915036054E1,5.000000000E0
3.388369171E1,0.000000000E0
3.555048321E1,5.000000000E0
3.568382850E1,0.000000000E0
3.678984250E1,5.000000000E0
3.691867058E1,0.000000000E0
3.697815367E1,5.000000000E0
3.720781767E1,0.000000000E0
3.875815621E1,5.000000000E0
3.899050071E1,0.000000000E0
4.020716354E1,5.000000000E0
4.060677883E1,0.000000000E0
4.377366108E1,5.000000000E0
4.380697763E1,0.000000000E0
5.323849504E1,5.000000000E0
