"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749468306594297E9,"2025-06-09 13:25:06.594 UTC+02:00"
"PAUSE",7.388662875001319E1,1.749468380479720E9,"2025-06-09 13:26:20.480 UTC+02:00"
