"Time (s)","X (hPa)"
-5.274567916E-1,1.019915848E3
4.992502083E-1,1.019954224E3
1.526033208E0,1.019915848E3
2.552667208E0,1.019948959E3
3.579342208E0,1.019948959E3
4.605943208E0,1.019948959E3
4.752377208E0,1.019904404E3
5.702694208E0,1.019869766E3
6.653211208E0,1.019861450E3
7.603819208E0,1.019836044E3
8.554359208E0,1.019760132E3
9.504710208E0,1.019760132E3
1.045510921E1,1.019772568E3
1.140584721E1,1.019772568E3
1.235661821E1,1.019798660E3
1.330745221E1,1.019818573E3
1.425824421E1,1.019818573E3
1.520899121E1,1.019792252E3
1.615972721E1,1.019792252E3
1.711040521E1,1.019787979E3
1.806115821E1,1.019700317E3
1.901184521E1,1.019700317E3
1.996258021E1,1.019720154E3
2.091324321E1,1.019729004E3
2.186394121E1,1.019772720E3
2.281470821E1,1.019772720E3
2.376547921E1,1.019748764E3
2.471630721E1,1.019748764E3
2.566719721E1,1.019748764E3
2.661821121E1,1.019686966E3
2.756914221E1,1.019686966E3
2.852007421E1,1.019722290E3
2.947089921E1,1.019722290E3
3.042189021E1,1.019722290E3
3.137286521E1,1.019761200E3
3.232396421E1,1.019793472E3
3.327503021E1,1.019837952E3
3.422617021E1,1.019850159E3
3.517746821E1,1.019873505E3
3.612881521E1,1.019877014E3
3.708015221E1,1.019877014E3
3.803136021E1,1.019879761E3
3.898239821E1,1.019885025E3
