"Time (s)","Distance (cm)"
3.785166657E-3,5.000000000E0
3.000975004E-2,0.000000000E0
3.003600007E-2,5.000000000E0
9.466550418E-1,0.000000000E0
5.196962208E0,5.000000000E0
5.381300500E0,0.000000000E0
5.811539125E0,5.000000000E0
5.994870042E0,0.000000000E0
1.432864762E1,5.000000000E0
1.445137421E1,0.000000000E0
1.556379083E1,5.000000000E0
1.699472279E1,0.000000000E0
1.722808362E1,5.000000000E0
1.802824504E1,0.000000000E0
3.207899388E1,5.000000000E0
3.247370850E1,0.000000000E0
3.629061896E1,5.000000000E0
3.645730683E1,0.000000000E0
3.671037925E1,5.000000000E0
3.679379654E1,0.000000000E0
4.601117583E1,5.000000000E0
4.707871333E1,0.000000000E0
4.821219121E1,5.000000000E0
