"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.113745826E-2,5.025195803E-1,1.752702892E-2,-2.490586424E-1
2.110845828E-2,5.096202563E-1,-1.157941657E-1,-5.156793970E-1
3.107845830E-2,4.921988427E-1,-1.433187640E-1,-5.562462097E-1
4.104945832E-2,4.574184711E-1,-7.019231558E-2,-4.277577388E-1
5.102045834E-2,3.353743628E-1,2.656097710E-2,-3.015426654E-1
6.099045835E-2,1.174476852E-1,9.808879673E-2,-2.366549438E-1
7.096145838E-2,-2.015028720E-1,2.422384501E-1,-2.107833534E-1
8.093145839E-2,-5.734770772E-1,2.063692904E-1,-1.062216890E-1
9.090245841E-2,-9.410081293E-1,3.464007497E-2,-5.911535025E-4
1.008734584E-1,-1.025817534E0,7.173890412E-2,6.015673935E-2
1.108434584E-1,-8.317417952E-1,1.099978209E-1,1.080752563E-1
1.208144582E-1,-5.680196515E-1,4.879326046E-2,4.838454008E-2
1.307844582E-1,-3.304181166E-1,3.692048907E-2,-5.399318933E-3
1.407554583E-1,-1.875031029E-1,-1.734284163E-3,-1.814975739E-2
1.507264583E-1,-8.366305791E-2,-4.110768020E-2,-2.941207945E-2
1.606964583E-1,1.282374792E-2,-6.609575629E-2,-1.017357051E-2
1.706674583E-1,1.323789889E-1,-1.180669785E-1,-1.856140137E-2
1.806374583E-1,2.750473598E-1,-1.065888941E-1,-2.490913868E-4
1.906084584E-1,3.401873156E-1,-5.480536759E-2,-8.690131903E-3
2.005794584E-1,3.242235398E-1,2.145928144E-4,-5.755648255E-2
2.105494584E-1,2.065411619E-1,8.009106696E-2,-7.542908192E-2
2.205204584E-1,1.646981578E-2,1.752106476E-1,-8.204403698E-2
2.304904584E-1,-1.982495909E-1,3.067759234E-1,-8.154468477E-2
2.404614585E-1,-3.274730933E-1,3.596382612E-1,-7.168043196E-2
2.504314582E-1,-3.713303536E-1,3.111414546E-1,-1.451635605E-1
2.604024583E-1,-3.333696814E-1,2.447936833E-1,-2.024171573E-1
2.703734583E-1,-2.325006433E-1,1.722051787E-1,-1.282949281E-1
2.803434583E-1,-9.871583752E-2,5.189286947E-2,-1.200415832E-1
2.903144583E-1,6.714756075E-2,-1.203181565E-2,-1.043956035E-1
3.002854583E-1,1.587630512E-1,-4.921484470E-2,-1.376358551E-1
3.102554583E-1,1.926303801E-1,-3.476695955E-2,-9.415362060E-2
3.202264584E-1,1.960097784E-1,3.254384816E-2,-3.330924869E-2
3.301964584E-1,1.580998673E-1,1.038231611E-1,-4.843248725E-3
3.401674584E-1,1.230606468E-1,1.031425452E-1,-6.928365827E-3
3.501374584E-1,9.904485304E-2,6.451642334E-2,-3.757011473E-2
3.601084584E-1,1.450926630E-1,1.092406064E-1,-7.799133182E-2
3.700794585E-1,1.371544465E-1,1.418248004E-1,-3.168243635E-1
3.800494582E-1,7.343963988E-2,2.187823445E-1,-3.994987303E-1
3.900204583E-1,-1.004619988E-1,3.471778446E-1,-3.738639522E-1
3.999904583E-1,-1.975320644E-1,4.630895394E-1,-3.431151992E-1
4.099614583E-1,-2.524460075E-1,5.135972035E-1,-1.431515336E-1
4.199324583E-1,-3.021533888E-1,4.472582030E-1,1.404939741E-1
4.299024583E-1,-1.813544084E-1,3.440221024E-1,2.275853276E-1
4.398734584E-1,-3.658812968E-2,3.867658335E-1,1.306595421E-1
4.498434584E-1,-7.039614586E-2,4.629188007E-1,5.402534902E-2
4.598144584E-1,-9.593124725E-2,4.917028892E-1,1.369166476E-1
4.697854584E-1,5.854446557E-2,2.576090258E-1,2.688660854E-1
4.797554584E-1,5.492199396E-1,-1.720268387E-1,3.884012997E-1
4.897264584E-1,1.138208035E0,-6.194060791E-1,4.188746488E-1
4.996964585E-1,1.363921523E0,-8.341696322E-1,4.531820172E-1
5.096674582E-1,1.189007914E0,-8.571977216E-1,4.298036796E-1
5.196384583E-1,8.370246814E-1,-7.009238666E-1,5.244677621E-1
5.296084583E-1,5.562812199E-1,-4.817743170E-1,6.019883931E-1
5.395794583E-1,5.129492224E-1,-3.783861887E-1,5.052035254E-1
5.495494583E-1,5.033948354E-1,-2.795261443E-1,2.078854734E-1
5.595204583E-1,4.961992884E-1,-2.300347263E-1,-1.630794293E-1
5.694904584E-1,4.669299541E-1,-8.117397130E-2,-2.586083150E-1
5.794614584E-1,4.139336785E-1,-1.195802379E-1,-1.879324347E-1
5.894324584E-1,2.312035116E-1,-3.335409683E-1,-8.771875978E-2
5.994024584E-1,-2.827274948E-2,-4.924747217E-1,-6.556482911E-2
6.093734584E-1,-2.764750306E-1,-4.531223756E-1,-1.487321162E-1
6.193434584E-1,-4.651785303E-1,-4.776420897E-1,-3.449564874E-1
6.293144582E-1,-6.231561177E-1,-5.581465548E-1,-4.481879103E-1
6.392854583E-1,-5.363347228E-1,-6.214485115E-1,-5.722424376E-1
6.492554583E-1,-4.164276987E-1,-4.939324325E-1,-6.864882606E-1
6.592264583E-1,-3.464141617E-1,-3.496518016E-1,-6.578643858E-1
6.691964583E-1,-4.514806236E-1,-3.357804519E-1,-5.081283027E-1
6.791674583E-1,-5.498570303E-1,-3.356635076E-1,-2.910591924E-1
6.891384583E-1,-4.520022684E-1,-3.294683826E-1,-8.314272881E-2
6.991084584E-1,-2.277104580E-1,-5.422023672E-1,1.456015170E-1
7.090794584E-1,1.802986023E-1,-1.006851359E0,4.095407385E-1
7.190494584E-1,8.048254535E-1,-1.503967600E0,7.890987092E-1
7.290204584E-1,1.404831567E0,-1.710422845E0,9.029358119E-1
7.389914584E-1,1.547741757E0,-1.612810596E0,6.822683251E-1
7.489614584E-1,1.246342787E0,-1.540247819E0,9.485528648E-2
7.589324582E-1,9.415386180E-1,-9.035246265E-1,-2.070440590E-1
7.689024583E-1,8.207355811E-1,-2.766621780E-1,-6.188424075E-1
7.788734583E-1,7.881840585E-1,5.532050729E-2,-1.040000394E0
7.888444583E-1,6.301679526E-1,8.158620000E-2,-1.360448277E0
7.988144583E-1,3.209851690E-1,7.166932225E-3,-1.443515577E0
8.087854583E-1,5.166124664E-2,-1.130909979E-1,-1.140032220E0
8.187554583E-1,-6.817502618E-2,-2.771264470E-1,-6.945696974E-1
8.287264584E-1,-3.155308863E-1,-5.451359153E-1,-3.502680981E-1
8.386974584E-1,-7.093521164E-1,-7.344319206E-1,-1.379059964E-1
8.486674584E-1,-1.164169965E0,-7.445207065E-1,-1.082962811E-1
8.586384584E-1,-1.463530888E0,-8.062889385E-1,-7.005139768E-2
8.686084584E-1,-1.696621954E0,-9.051986843E-1,-1.197971696E-1
8.785794585E-1,-1.722338301E0,-8.086389345E-1,-2.834794468E-1
8.885504582E-1,-1.491528234E0,-7.639235222E-1,-5.932935834E-1
8.985204583E-1,-1.112655264E0,-6.284984994E-1,-8.170899153E-1
9.084914583E-1,-2.531112014E-1,-1.278903008E-1,-5.438436806E-1
9.184614583E-1,9.444679999E-1,1.753030336E-1,7.777381539E-3
9.284324583E-1,2.012814818E0,1.755597264E-1,5.137784672E-1
9.384034583E-1,2.943933333E0,4.139413530E-1,1.035828406E0
9.483734583E-1,3.440661904E0,8.303876531E-1,1.286580986E0
9.583444584E-1,3.135342522E0,9.232040155E-1,1.301371518E0
9.683144584E-1,2.006116540E0,6.994076836E-1,8.883937865E-1
9.782854584E-1,6.301712416E-1,3.497430182E-1,1.699662799E-1
9.882554584E-1,-4.580144486E-1,2.979127139E-1,-8.334130025E-1
9.982264584E-1,-1.614075203E0,5.410013491E-1,-1.762644328E0
1.008197458E0,-2.106737328E0,1.039664764E0,-2.071741011E0
1.018167458E0,-1.804333075E0,1.385939214E0,-2.046512614E0
1.028138458E0,-1.067321509E0,1.482869092E0,-1.711886988E0
1.038108458E0,-2.199457942E-1,1.383628979E0,-1.053152536E0
1.048079458E0,3.483502114E-1,1.321668958E0,-3.805443960E-1
1.058050458E0,2.770751376E-1,1.326036243E0,1.858326995E-1
1.068020458E0,-1.886132699E-1,1.534022874E0,6.245136219E-1
1.077991458E0,-8.235668761E-1,1.671399697E0,6.676707512E-1
1.087961458E0,-1.600871020E0,1.649939831E0,5.498177809E-1
1.097932458E0,-2.436833847E0,1.509667466E0,5.466222775E-1
1.107903458E0,-2.931619681E0,1.298085383E0,6.377558112E-1
1.117873458E0,-2.905746629E0,1.210752540E0,5.103519988E-1
1.127844458E0,-2.557507222E0,1.314573947E0,1.809637231E-1
1.137814458E0,-2.089106657E0,1.359094062E0,-8.227734089E-2
1.147785458E0,-1.727305218E0,1.139864990E0,-1.600242591E-1
1.157756458E0,-1.447993667E0,7.937776512E-1,-3.069811606E-1
1.167726458E0,-1.092618903E0,3.865623504E-1,-7.151162285E-1
1.177697458E0,-7.461155346E-1,-2.068756592E-1,-1.012705007E0
1.187667458E0,-3.714344341E-1,-8.532005650E-1,-1.261589402E0
1.197638458E0,-6.492251247E-2,-1.365481560E0,-1.599805219E0
1.207609458E0,1.776232088E-1,-1.881284333E0,-1.701802880E0
1.217579458E0,3.339948584E-1,-2.226512132E0,-1.372584758E0
1.227550458E0,6.361492887E-2,-2.136876070E0,-7.729212177E-1
1.237520458E0,-4.828447960E-1,-1.564196261E0,1.498372400E-1
1.247491458E0,-1.077814338E0,-7.574395448E-1,1.339557345E0
1.257462458E0,-1.410555992E0,-4.787817121E-2,2.175639601E0
1.267432458E0,-1.123970211E0,5.003649545E-1,2.306728914E0
1.277403458E0,-3.170301855E-1,7.854383522E-1,1.979145674E0
1.287373458E0,5.388564442E-1,4.327898526E-1,1.679958851E0
1.297344458E0,1.148981823E0,-2.600660259E-1,1.162215972E0
1.307315458E0,1.527310709E0,-1.002963545E0,4.539012247E-1
1.317285458E0,1.635022561E0,-1.579694890E0,-1.270529795E-1
1.327256417E0,1.378821398E0,-1.812317010E0,-2.830368125E-1
1.337226417E0,8.123729664E-1,-1.824303802E0,9.135221958E-2
1.347197417E0,3.010688947E-1,-1.701936196E0,6.695991629E-1
1.357168417E0,-7.969901115E-3,-1.422374384E0,1.292461531E0
1.367138417E0,-1.721769659E-1,-9.182192641E-1,2.002880107E0
1.377109417E0,-1.116860582E-1,-2.666213393E-1,2.507162111E0
1.387079417E0,3.363583030E-1,3.183820617E-1,2.641900671E0
1.397050417E0,1.133865162E0,5.170850676E-1,2.345826321E0
1.407021417E0,1.805769882E0,3.795182097E-1,1.739699269E0
1.416991417E0,2.044703340E0,1.604896975E-1,1.099988734E0
1.426962417E0,1.994349457E0,-1.170308518E-1,6.628924066E-1
1.436932417E0,1.753553516E0,-4.479785800E-1,4.228893471E-1
1.446903417E0,1.346137948E0,-6.347023952E-1,1.898976839E-1
1.456874417E0,8.556229202E-1,-6.723724973E-1,-1.871342897E-2
1.466844417E0,4.342668593E-1,-7.300038242E-1,2.555233240E-3
1.476815417E0,2.055107729E-1,-8.393227834E-1,5.417445302E-2
1.486785417E0,1.481308763E-1,-8.535549062E-1,1.730705667E-1
1.496756417E0,1.711304605E-1,-6.721292531E-1,3.766162366E-1
1.506727417E0,1.135622835E-1,-4.759282708E-1,3.874569744E-1
1.516697417E0,-3.163884535E-2,-2.227052414E-1,2.750097549E-1
1.526668417E0,-1.282899579E-1,-2.647970080E-2,2.749466050E-1
1.536638417E0,-1.040690365E-1,1.722811925E-1,4.194248718E-1
1.546609417E0,-4.814290389E-2,4.171275008E-1,2.361795652E-1
1.556580417E0,1.652861685E-3,2.918123138E-1,-1.859426272E-1
1.566550417E0,-2.289725795E-2,-9.681761205E-2,-4.639520037E-1
1.576521417E0,2.223301426E-2,-4.238997459E-1,-7.115406561E-1
1.586491417E0,2.615158430E-1,-5.008836025E-1,-8.198813760E-1
1.596462417E0,5.006039594E-1,-3.131628370E-1,-6.962156886E-1
1.606433417E0,4.371141610E-1,-4.040075183E-2,-7.171785414E-1
1.616403417E0,-1.687550291E-2,2.277215677E-1,-1.007592201E0
1.626374417E0,-4.527560475E-1,3.459891057E-1,-1.303216900E0
1.636344417E0,-3.926091023E-1,1.513820744E-1,-1.381895864E0
1.646315417E0,2.342074455E-1,-1.329656839E-1,-1.401107476E0
1.656286417E0,7.192488943E-1,-1.117876536E-1,-1.418036335E0
1.666256417E0,8.186034670E-1,-5.027728379E-2,-1.452643080E0
1.676227417E0,9.535801546E-1,-9.029504299E-2,-1.564323730E0
1.686197417E0,1.017030923E0,1.030688703E-2,-1.762625032E0
1.696168417E0,7.828091517E-1,2.310410321E-2,-1.738698810E0
1.706139417E0,3.661019196E-1,-2.888641477E-2,-1.371251593E0
1.716109417E0,-5.316434652E-3,-2.598327219E-2,-8.970751476E-1
1.726080417E0,-3.060539384E-1,1.371879584E-1,-6.172151273E-1
1.736050417E0,-6.267501819E-1,3.840872240E-1,-3.457908851E-1
1.746021417E0,-8.785147695E-1,4.720176530E-1,-2.949861825E-2
1.755992417E0,-9.542743653E-1,4.268104899E-1,9.008629739E-2
1.765962417E0,-7.677093020E-1,7.034200430E-2,1.653528267E-1
1.775933417E0,-5.490003401E-1,-3.875043368E-1,2.901201296E-1
1.785903417E0,-4.167269665E-1,-6.109235233E-1,6.862526178E-1
1.795874417E0,-4.631781247E-1,-4.206229663E-1,1.174785731E0
1.805845417E0,-7.778755635E-1,5.798099041E-2,1.406396867E0
1.815815417E0,-1.126842510E0,6.117310238E-1,1.291932943E0
1.825786417E0,-9.474303456E-1,8.741271651E-1,8.195890152E-1
1.835756417E0,-6.835595365E-1,1.046933438E0,5.775821149E-2
1.845727417E0,-5.134118468E-1,1.407563971E0,-4.106405997E-1
1.855698417E0,-3.779032087E-1,1.847847031E0,-8.913776207E-1
1.865668417E0,-5.697355901E-1,2.343399142E0,-1.436278478E0
1.875639417E0,-6.109429653E-1,2.473863972E0,-1.866256989E0
1.885609417E0,-6.114414404E-1,2.063249685E0,-2.100853128E0
1.895580417E0,-7.767102134E-1,1.509930591E0,-1.728250421E0
1.905551417E0,-8.150018746E-1,1.144580185E0,-1.037966732E0
1.915521417E0,-1.185848079E0,1.097552199E0,-4.145716828E-1
1.925492417E0,-1.756334159E0,9.439090061E-1,3.627051258E-1
1.935462417E0,-1.669889507E0,2.961614728E-1,9.195641237E-1
1.945433417E0,-1.015905772E0,-4.091103834E-1,1.127332068E0
1.955404417E0,-7.447189271E-2,-1.215931419E0,1.301326495E0
1.965374417E0,8.663108996E-1,-1.798416424E0,1.337720150E0
1.975345417E0,1.561905906E0,-1.777883341E0,1.596880442E0
1.985315417E0,1.967462644E0,-1.535824986E0,2.022296956E0
1.995286417E0,1.829780011E0,-1.067350745E0,2.090383104E0
2.005257417E0,1.389869127E0,-5.137065464E-1,1.935447092E0
2.015227417E0,1.312348789E0,-5.791000521E-1,1.943561273E0
2.025198417E0,1.672474123E0,-9.132403600E-1,1.873286512E0
2.035168417E0,1.948003988E0,-7.728925663E-1,1.438340206E0
2.045139417E0,2.028641185E0,-4.726164079E-1,1.067868809E0
2.055110417E0,1.815259328E0,-1.197217405E-2,1.191060871E0
2.065080417E0,1.429808826E0,2.578651339E-1,9.988313180E-1
2.075051417E0,8.205938593E-1,4.218122900E-1,3.438162804E-4
2.085021417E0,3.087294781E-1,6.405040026E-2,-6.550869584E-1
2.094992417E0,4.034327370E-1,-7.786702001E-1,-5.259938854E-1
2.104963417E0,5.299088886E-1,-1.129610728E0,-4.057605135E-1
2.114933417E0,2.338012102E-1,-9.062886053E-1,-3.001048350E-1
2.124904417E0,-5.021559566E-2,-6.818970269E-1,-2.265433538E-1
2.134874417E0,-4.357716402E-1,3.201607847E-1,-3.617526144E-1
2.144845417E0,-1.313090216E0,1.970185985E0,-8.095142627E-1
2.154816417E0,-1.496824642E0,2.343307341E0,-1.667884351E0
2.164786417E0,-9.119329226E-1,1.569611952E0,-2.652218667E0
2.174757417E0,-6.581725341E-1,1.000082037E0,-3.136155869E0
2.184727417E0,-7.163011667E-1,9.969631326E-1,-2.493739827E0
2.194698417E0,-1.249365798E0,1.675107417E0,-1.294323285E0
2.204669417E0,-1.882490614E0,1.835782471E0,-4.561939180E-1
2.214639417E0,-2.299952576E0,7.876678956E-1,-3.990087336E-1
2.224610417E0,-2.608298184E0,-9.497497898E-1,6.437515461E-1
2.234580417E0,-3.189356176E0,-2.123505827E0,2.508504632E0
2.244551417E0,-3.305925390E0,-2.072099445E0,2.930177758E0
2.254522417E0,-2.018043106E0,-1.483714600E0,2.509056609E0
2.264492417E0,-2.756789687E-1,-6.175115812E-1,1.402904910E0
2.274463417E0,9.810961282E-1,-9.695619106E-2,1.054475176E-1
2.284434417E0,1.582783682E0,4.588836372E-2,-1.102126476E0
2.294404417E0,9.670932162E-1,3.809794289E-1,-1.802047545E0
2.304375417E0,2.530373803E-1,3.421205878E-2,-1.543895897E0
2.314345417E0,-3.062672156E-1,-3.583612293E-1,-7.163190007E-1
2.324316417E0,-1.006463689E0,-3.790276283E-1,3.883410734E-1
2.334287917E0,-1.602632933E0,-4.273145199E-2,9.278999144E-1
2.344257917E0,-1.589766427E0,5.616186315E-1,1.085960094E0
2.354228917E0,-6.067997745E-1,6.256216693E-1,1.263423674E0
2.364198917E0,3.508814710E-1,8.333252943E-1,1.150280635E0
