"Time (s)","X (hPa)"
-5.479968751E-1,1.025196457E3
4.770601250E-1,1.025227966E3
1.502130125E0,1.025196457E3
2.527209125E0,1.025159149E3
3.552194125E0,1.025129318E3
4.577211125E0,1.025147095E3
4.726063125E0,1.025129318E3
5.675145125E0,1.025147095E3
6.624122125E0,1.025179062E3
7.573109125E0,1.025185928E3
8.522037125E0,1.025207062E3
9.471027125E0,1.025207062E3
1.041995312E1,1.025188446E3
1.136886512E1,1.025101852E3
1.231774112E1,1.025092545E3
1.326660712E1,1.025009918E3
1.421547312E1,1.025005264E3
1.516420712E1,1.025009918E3
1.611288412E1,1.025121689E3
1.706153412E1,1.025160904E3
1.801025112E1,1.025160904E3
1.895899712E1,1.025114594E3
1.990778612E1,1.025061188E3
2.085643412E1,1.025061188E3
2.180523512E1,1.024950180E3
2.275399712E1,1.024883118E3
2.370252312E1,1.024883118E3
2.465104312E1,1.024886932E3
2.559959912E1,1.024923859E3
2.654829712E1,1.024953690E3
2.749686512E1,1.024966660E3
2.844544412E1,1.024970703E3
2.939394912E1,1.024970703E3
3.034236712E1,1.024950180E3
3.129078112E1,1.024950180E3
3.223913912E1,1.025052414E3
3.318747712E1,1.025080032E3
3.413570412E1,1.025080032E3
3.508403912E1,1.025110703E3
3.603248212E1,1.025110703E3
3.698093512E1,1.025110703E3
3.792924312E1,1.025082245E3
3.887759712E1,1.025100250E3
3.982602912E1,1.025084686E3
4.077450212E1,1.025084686E3
4.172284412E1,1.025084686E3
4.267108512E1,1.025103989E3
4.361919512E1,1.025162659E3
