"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749467310211669E9,"2025-06-09 13:08:30.212 UTC+02:00"
"PAUSE",7.015529658342712E1,1.749467380366184E9,"2025-06-09 13:09:40.366 UTC+02:00"
