"Time (s)","Distance (cm)"
3.798541846E-3,5.000000000E0
2.095983340E-2,0.000000000E0
3.082941682E-2,5.000000000E0
3.730100958E0,0.000000000E0
4.063425250E0,5.000000000E0
4.113442042E0,0.000000000E0
4.446774875E0,5.000000000E0
4.730118833E0,0.000000000E0
8.352532500E0,5.000000000E0
1.497513629E1,0.000000000E0
1.542518758E1,5.000000000E0
1.630862325E1,0.000000000E0
1.710859958E1,5.000000000E0
2.065837404E1,0.000000000E0
2.232509275E1,5.000000000E0
2.272377650E1,0.000000000E0
2.374044454E1,5.000000000E0
2.397296404E1,0.000000000E0
2.440651204E1,5.000000000E0
2.820663192E1,0.000000000E0
2.944010033E1,5.000000000E0
2.977205079E1,0.000000000E0
3.010535342E1,5.000000000E0
3.413908904E1,0.000000000E0
3.592245692E1,5.000000000E0
3.743843858E1,0.000000000E0
4.113870283E1,5.000000000E0
4.142664158E1,0.000000000E0
4.297668025E1,5.000000000E0
