"Time (s)","X (hPa)"
-5.342847083E-1,1.024934616E3
4.889812917E-1,1.024958420E3
1.512241292E0,1.024982224E3
2.535447292E0,1.025120773E3
3.558797292E0,1.025120773E3
4.582289292E0,1.024866486E3
4.733781292E0,1.024866486E3
5.681330292E0,1.024949799E3
6.628887292E0,1.024955292E3
7.576410292E0,1.024995422E3
8.523974292E0,1.024995422E3
9.471575292E0,1.024994736E3
1.041915729E1,1.024987717E3
1.136678429E1,1.024981689E3
1.231445929E1,1.024987717E3
1.326231029E1,1.024994583E3
1.421008429E1,1.025054016E3
1.515792729E1,1.024994583E3
1.610587929E1,1.024872818E3
1.705376829E1,1.024845123E3
1.800169129E1,1.024845123E3
1.894957429E1,1.024799881E3
1.989753329E1,1.024863663E3
2.084549929E1,1.024963074E3
2.179345229E1,1.024963074E3
2.274154729E1,1.024800034E3
2.368961929E1,1.024628906E3
2.463780029E1,1.024609146E3
2.558605529E1,1.024533997E3
2.653426529E1,1.024533997E3
2.748252729E1,1.024665375E3
2.843083729E1,1.024681702E3
2.937906929E1,1.024741364E3
3.032734829E1,1.024750900E3
3.127559929E1,1.024766464E3
3.222380129E1,1.024801712E3
3.317213629E1,1.025026245E3
3.412063429E1,1.025026245E3
3.506908229E1,1.024945831E3
3.601755429E1,1.024908600E3
3.696594029E1,1.024897079E3
3.791437429E1,1.024711533E3
3.886291129E1,1.024711533E3
3.981147729E1,1.024841232E3
4.076007229E1,1.024908600E3
