"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748973519219974E9,"2025-06-03 19:58:39.220 UTC+02:00"
"PAUSE",3.521390537498519E1,1.748973554433692E9,"2025-06-03 19:59:14.434 UTC+02:00"
